True_Label,Predicted_Label,Confidence
NORMAL,NORMAL,0.8858817877565696
NORMAL,NORMAL,0.8824215512575433
NORMAL,NORMAL,0.9015841203164614
NORMAL,NORMAL,0.8958232353308365
NORMAL,NORMAL,0.8925805976436638
NORMAL,NORMAL,0.8974613139013243
NORMAL,NORMAL,0.8834857840421799
NORMAL,NORMAL,0.8867611388443783
NORMAL,NORMAL,0.9097741873140822
NORMAL,NORMAL,0.9606383103229126
NORMAL,NORMAL,0.9702130999394198
NORMAL,NORMAL,0.8976123171495369
NORMAL,NORMAL,0.8829708508212475
NORMAL,NORMAL,0.9143038129290013
NORMAL,BERAT,0.01729090935267701
NORMAL,NORMAL,0.8839222909323294
NORMAL,NORMAL,0.8951822395870768
NORMAL,NORMAL,0.8954599239585743
NORMAL,NORMAL,0.889312832254213
NORMAL,NORMAL,0.8995186347335613
NORMAL,NORMAL,0.9018377482254634
NORMAL,NORMAL,0.9006665930197306
NORMAL,NORMAL,0.8856236406784734
NORMAL,NORMAL,0.8998261219936965
NORMAL,NORMAL,0.9860694997348001
NORMAL,NORMAL,0.8847967110958159
NORMAL,NORMAL,0.9166497214741127
NORMAL,NORMAL,0.9592211154828766
NORMAL,NORMAL,0.8978643618608
NORMAL,NORMAL,0.9309816235696493
NORMAL,NORMAL,0.9362636637219119
NORMAL,BERAT,0.009970483572628376
NORMAL,NORMAL,0.9064615277595666
NORMAL,NORMAL,0.9303493395939995
NORMAL,NORMAL,0.9170175547644175
NORMAL,NORMAL,0.977938819825843
NORMAL,NORMAL,0.8837235934749297
NORMAL,BERAT,0.18225879287637295
NORMAL,NORMAL,0.9627339738599147
NORMAL,NORMAL,0.8854462477535768
NORMAL,NORMAL,0.9194069143569847
NORMAL,NORMAL,0.9475441541125487
NORMAL,NORMAL,0.9117390230317075
NORMAL,NORMAL,0.9127591679163685
NORMAL,NORMAL,0.8822637637477394
NORMAL,NORMAL,0.8993565217354491
NORMAL,NORMAL,0.9527345352445558
NORMAL,NORMAL,0.8852354012402996
NORMAL,NORMAL,0.8888738488760115
NORMAL,NORMAL,0.9254792830921079
NORMAL,NORMAL,0.884022212729002
NORMAL,NORMAL,0.9601828231794016
NORMAL,NORMAL,0.8966300058250847
NORMAL,BERAT,0.036171892294616724
NORMAL,NORMAL,0.9006123137075683
NORMAL,NORMAL,0.8999964707298835
NORMAL,NORMAL,0.8857339799378232
NORMAL,NORMAL,0.9254357143593706
NORMAL,NORMAL,0.8926885868956743
NORMAL,NORMAL,0.8822946981730058
NORMAL,NORMAL,0.8993853063519219
NORMAL,NORMAL,0.904779697067984
NORMAL,NORMAL,0.9202467976867028
NORMAL,NORMAL,0.9066624059144379
NORMAL,NORMAL,0.9348641224701306
NORMAL,NORMAL,0.9602693612956823
NORMAL,NORMAL,0.8836999438300117
NORMAL,NORMAL,0.8994346895448593
NORMAL,NORMAL,0.8940444883074531
NORMAL,NORMAL,0.9324251740114028
NORMAL,NORMAL,0.8799188626716758
NORMAL,NORMAL,0.8912648532859491
NORMAL,NORMAL,0.9767352133234972
NORMAL,NORMAL,0.9271778621734281
NORMAL,NORMAL,0.894606965024946
NORMAL,NORMAL,0.9483902707277195
NORMAL,NORMAL,0.9056510852438198
NORMAL,NORMAL,0.940010424198743
NORMAL,NORMAL,0.935962865242915
NORMAL,NORMAL,0.9122733224975531
NORMAL,NORMAL,0.9141871134097934
NORMAL,NORMAL,0.909419428578255
NORMAL,NORMAL,0.8883257268414632
NORMAL,NORMAL,0.8922687116532473
NORMAL,NORMAL,0.8841670430988371
NORMAL,NORMAL,0.9309993981347086
NORMAL,NORMAL,0.8848502211512324
NORMAL,NORMAL,0.8801153710277891
NORMAL,NORMAL,0.9037900140587458
NORMAL,BERAT,0.09562162255828577
NORMAL,NORMAL,0.9590875776120442
NORMAL,NORMAL,0.8975819482322037
NORMAL,NORMAL,0.9427323213389257
NORMAL,NORMAL,0.8993443460440723
NORMAL,NORMAL,0.9520349855425694
NORMAL,NORMAL,0.8856211352623604
